Series Name,Country Name,Country Code,2014,2015,2016,2017,2018,2019
Refugee population by country or territory of origin,Nicaragua,NIC,1587,1476,1419,1467,1673,4377
Refugee population by country or territory of origin,Guatemala,GTM,7483,10284,12554,16274,19132,22774
Refugee population by country or territory of origin,Honduras,HND,4159,6851,10507,14404,18860,26374
Refugee population by country or territory of origin,El Salvador,SLV,10965,14778,19614,25861,32564,41850
Refugee population by country or territory of origin,Belize,BLZ,45,51,57,59,69,73
Refugee population by country or territory of origin,Costa Rica,CRI,417,379,208,190,211,210
Refugee population by country or territory of origin,Panama,PAN,89,69,40,31,49,54
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: World Development Indicators,,,,,,,,
Last Updated: 08/18/2020,,,,,,,,
