Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Labor force, total",SL.TLF.TOTL.IN,Nicaragua,NIC,2775819,2832718,2890622,2947535,2992406,3048887
"Labor force, total",SL.TLF.TOTL.IN,Guatemala,GTM,5970103,6097908,6307795,6498737,6680520,6847286
"Labor force, total",SL.TLF.TOTL.IN,Honduras,HND,3842079,4020478,4109395,4273483,4499704,4614041
"Labor force, total",SL.TLF.TOTL.IN,El Salvador,SLV,2666287,2665700,2729547,2743560,2757089,2789514
"Labor force, total",SL.TLF.TOTL.IN,Belize,BLZ,151507,156875,164047,168345,173515,178514
"Labor force, total",SL.TLF.TOTL.IN,Costa Rica,CRI,2343032,2338013,2272972,2336778,2445858,2473778
"Labor force, total",SL.TLF.TOTL.IN,Panama,PAN,1813556,1858187,1910880,1937154,2029802,2070438
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,
Last Updated: 08/18/2020,,,,,,,,,
